# downsampled raw LIO trajectory
# t_rel	x	y	z
6.77298	-0.85012	-0.11882	-0.15399
6.77298	-0.83638	-0.09642	-0.15759
6.83849	-0.83676	-0.08865	-0.15648
6.83849	-0.83149	-0.07322	-0.16695
6.90396	-0.82352	-0.06028	-0.16848
6.90396	-0.82011	-0.05518	-0.16664
6.96851	-0.81326	-0.04768	-0.17203
6.96851	-0.79848	-0.03790	-0.16809
7.03397	-0.79144	-0.03687	-0.16331
7.03397	-0.79075	-0.04645	-0.16466
7.09919	-0.78119	-0.05035	-0.17263
7.09919	-0.77696	-0.06008	-0.17357
7.16460	-0.77414	-0.05509	-0.16980
7.16460	-0.77395	-0.05977	-0.16899
7.22946	-0.76933	-0.05347	-0.17051
7.22946	-0.76172	-0.05553	-0.16479
7.29498	-0.75638	-0.06773	-0.16676
7.35998	-0.75091	-0.06905	-0.17525
7.35998	-0.74503	-0.08378	-0.17113
7.42531	-0.74103	-0.09320	-0.16743
7.42531	-0.71870	-0.09915	-0.17016
7.49048	-0.70861	-0.10908	-0.16574
7.49048	-0.69052	-0.11569	-0.15969
7.55545	-0.67442	-0.13498	-0.15884
7.55545	-0.65606	-0.14391	-0.15545
7.62047	-0.64258	-0.14290	-0.15649
7.62047	-0.62535	-0.16195	-0.14780
7.68607	-0.63776	-0.17651	-0.13170
7.68607	-0.64162	-0.18398	-0.12333
7.75098	-0.63636	-0.21357	-0.11198
7.75098	-0.63409	-0.22455	-0.09488
7.81598	-0.64880	-0.23207	-0.08384
7.81598	-0.64682	-0.23603	-0.07496
7.88146	-0.64863	-0.26147	-0.06333
7.88146	-0.65751	-0.28443	-0.05215
7.94744	-0.66938	-0.29596	-0.04959
7.94744	-0.66443	-0.31305	-0.04684
8.01211	-0.67435	-0.32919	-0.04413
8.01211	-0.68557	-0.34284	-0.04626
8.07774	-0.68925	-0.34716	-0.05361
8.07774	-0.69183	-0.36257	-0.05119
8.14208	-0.70732	-0.37614	-0.04581
8.14208	-0.73063	-0.39071	-0.05401
8.14208	-0.73458	-0.40558	-0.05496
8.20809	-0.74283	-0.43538	-0.04673
8.27247	-0.75355	-0.45065	-0.04952
8.27247	-0.77173	-0.46716	-0.05683
8.27247	-0.77736	-0.47865	-0.05981
8.33816	-0.78872	-0.48466	-0.04648
8.33816	-0.79867	-0.49995	-0.05567
8.40350	-0.80505	-0.50436	-0.06124
8.40350	-0.79775	-0.52319	-0.05427
8.46798	-0.80343	-0.53126	-0.04600
8.46798	-0.80767	-0.54197	-0.05226
8.53349	-0.80381	-0.55027	-0.05147
8.53349	-0.79471	-0.56440	-0.04103
8.59907	-0.79584	-0.57152	-0.03096
8.59907	-0.79728	-0.57623	-0.03448
8.66396	-0.78887	-0.57745	-0.02829
8.66396	-0.77431	-0.57380	-0.01851
8.66396	-0.76313	-0.57341	-0.02696
8.72946	-0.75009	-0.57158	-0.03353
8.72946	-0.72307	-0.57138	-0.02409
8.79447	-0.70783	-0.57775	-0.01369
8.79447	-0.68948	-0.58072	-0.02120
8.85949	-0.67113	-0.57363	-0.02006
8.85949	-0.63899	-0.57204	0.00171
8.92447	-0.61516	-0.56742	0.00855
8.92447	-0.59853	-0.56559	-0.00161
8.98996	-0.57259	-0.55096	0.00327
8.98996	-0.54812	-0.52656	0.00695
9.05572	-0.53020	-0.50692	0.00563
9.05572	-0.51158	-0.48844	-0.01071
9.12006	-0.47941	-0.46140	-0.01312
9.12006	-0.45515	-0.43857	-0.00292
9.18522	-0.43488	-0.41144	-0.00642
9.18522	-0.40589	-0.38237	-0.01395
9.25048	-0.38393	-0.34503	-0.01641
9.25048	-0.37210	-0.32493	-0.00410
9.31548	-0.36579	-0.30558	-0.00998
9.31548	-0.33927	-0.26582	-0.01971
9.38097	-0.30995	-0.22608	-0.01548
9.38097	-0.30431	-0.20417	-0.01377
9.44596	-0.27377	-0.16266	-0.02575
9.44596	-0.24660	-0.12894	-0.03060
9.44596	-0.22605	-0.10000	-0.02298
9.51100	-0.21481	-0.06921	-0.02044
9.51100	-0.19037	-0.02423	-0.02978
9.57906	-0.16080	0.03028	-0.03311
9.57906	-0.13306	0.07077	-0.03829
9.64185	-0.12147	0.10049	-0.05134
9.64185	-0.08678	0.12655	-0.06003
9.70648	-0.05440	0.16341	-0.06739
9.70648	-0.03198	0.19002	-0.07909
9.77200	0.00553	0.23098	-0.08582
9.77200	0.03807	0.27004	-0.09390
9.83692	0.06479	0.30563	-0.10137
9.83692	0.08355	0.32589	-0.11157
9.90197	0.10929	0.36033	-0.11292
9.90197	0.15264	0.39789	-0.11509
9.96762	0.18540	0.41950	-0.11098
9.96762	0.22287	0.44704	-0.11112
10.03300	0.25742	0.48323	-0.11715
10.03300	0.30074	0.52062	-0.11807
10.09760	0.34347	0.57080	-0.12490
10.09760	0.37526	0.61513	-0.12871
10.16300	0.42015	0.66211	-0.12734
10.16300	0.44323	0.69000	-0.12523
10.22810	0.47113	0.73796	-0.11737
10.22810	0.51023	0.77994	-0.10708
10.22810	0.55050	0.83185	-0.10911
10.29320	0.57634	0.85135	-0.11530
10.29320	0.60423	0.87799	-0.12325
10.35850	0.63534	0.91551	-0.12072
10.35850	0.66655	0.95984	-0.12260
10.42400	0.68771	0.98931	-0.12899
10.42400	0.72108	1.03331	-0.11851
10.48900	0.74805	1.07502	-0.11510
10.48900	0.77192	1.11686	-0.12153
10.55400	0.79759	1.15600	-0.12781
10.55400	0.81487	1.19453	-0.13247
10.55400	0.84039	1.24199	-0.13934
10.61850	0.86056	1.29191	-0.14896
10.61850	0.88358	1.33578	-0.15547
10.68400	0.90418	1.37425	-0.15638
10.68400	0.93013	1.42152	-0.16294
10.74950	0.94063	1.47214	-0.16543
10.74950	0.96192	1.51815	-0.17361
10.81400	0.98175	1.56877	-0.17267
10.81400	1.00534	1.62717	-0.18007
10.87910	1.01023	1.68577	-0.19338
10.87910	1.02605	1.72427	-0.20680
10.94450	1.03753	1.77643	-0.21663
10.94450	1.05198	1.82947	-0.22667
10.94450	1.06739	1.87702	-0.23477
11.00970	1.09805	1.92984	-0.23257
11.00970	1.11267	1.98077	-0.23857
11.07450	1.11746	2.02872	-0.24329
11.07450	1.13670	2.09164	-0.24279
11.14000	1.15101	2.14043	-0.25165
11.14000	1.16158	2.19320	-0.26363
11.20460	1.17767	2.25453	-0.27207
11.20460	1.20083	2.31778	-0.27822
11.26950	1.21514	2.36971	-0.29522
11.26950	1.22354	2.43236	-0.30703
11.33550	1.22759	2.48785	-0.30620
11.33550	1.24580	2.52543	-0.31258
11.33550	1.25417	2.57316	-0.32213
11.40000	1.26731	2.63891	-0.32533
11.40000	1.27905	2.68990	-0.33881
11.46580	1.27399	2.73641	-0.36039
11.46580	1.28049	2.78793	-0.38173
11.53010	1.28308	2.84077	-0.39603
11.53010	1.28044	2.87751	-0.41645
11.59580	1.28951	2.92690	-0.42114
11.59580	1.29265	2.98587	-0.42447
11.66050	1.29147	3.04266	-0.43699
11.66050	1.31230	3.13435	-0.44181
11.72550	1.28666	3.18857	-0.45272
11.72550	1.28886	3.24193	-0.45914
11.79110	1.29248	3.29722	-0.46323
11.79110	1.28512	3.34212	-0.47717
11.79110	1.27495	3.38622	-0.48883
11.85550	1.27839	3.44220	-0.50028
11.85550	1.29246	3.49481	-0.50878
11.92060	1.27243	3.53319	-0.52612
11.92060	1.25640	3.59786	-0.53666
11.98600	1.25985	3.66180	-0.54868
11.98600	1.25089	3.71169	-0.56320
12.05100	1.23764	3.76236	-0.58004
12.05100	1.22429	3.81413	-0.59201
12.11600	1.22701	3.87644	-0.60130
12.11600	1.23392	3.93431	-0.61702
12.18110	1.20628	3.98206	-0.62972
12.18110	1.19554	4.03072	-0.64480
